ra_deg,dec_deg,I,Q,U,V,ref_freq_hz,spectral_index,rotation_measure,major_axis_arcsec,minor_axis_arcsec,position_angle_deg
79.64224679893087,23.094265249963605,,,,,,,,,,
79.68484677630103,23.09712265397946,,,,,,,,,,
79.72746037665135,23.099918561859774,,,,,,,,,,
79.77013022097017,23.10265604810085,,,,,,,,,,
79.81288981375049,23.105340371203635,,,,,,,,,,
79.85577014933683,23.107979910803074,,,,,,,,,,
79.89879367148471,23.110584798620476,,,,,,,,,,
79.94197155535991,23.113167757736107,,,,,,,,,,
79.9853057155341,23.115741293656797,,,,,,,,,,
80.02878815043952,23.118318801359134,,,,,,,,,,
80.07239988323674,23.120911629320755,,,,,,,,,,
80.11611322432053,23.123528716753952,,,,,,,,,,
80.15989434157221,23.126177819597498,,,,,,,,,,
80.2037027315794,23.128863260117257,,,,,,,,,,
80.24749936904477,23.131586608473473,,,,,,,,,,
80.29124460929712,23.134345075002447,,,,,,,,,,
80.33490160406615,23.13713199863257,,,,,,,,,,
80.37844030543074,23.139941703553063,,,,,,,,,,
80.42183877113469,23.142761102174685,,,,,,,,,,
