Frequency (Hz),Magnitude (Log Mag dB)
107557558,-105.2953333
107907909,-106.83
108258259,-105.487
108608609,-108.1733333
108958960,-107.5976667
109309310,-107.4056667
109659660,-107.022
110010011,-105.871
110360361,-105.679
110710711,-106.0626667
111061062,-105.2953333
111411412,-104.528
111761762,-104.5276667
112112113,-103.952
112462463,-105.1036667
112812813,-106.0986667
113163164,-106.2906667
113513514,-105.1396667
113863865,-105.5233333
114214215,-106.8663333
114564565,-104.9476667
114914916,-106.0986667
115265266,-104.7556667
115615616,-105.715
115965967,-103.7963333
116316317,-102.4533333
116666667,-103.6046667
117017018,-101.6856667
117367368,-102.2613333
117717718,-102.2613333
118068069,-102.837
118418419,-102.4533333
118768769,-103.0286667
119119120,-102.261
119469470,-100.918
119819820,-102.261
120170171,-101.8773333
120520521,-101.8776667
120870872,-102.453
121221222,-103.2206667
121571572,-102.261
121921923,-102.2973333
122272273,-101.5296667
122622623,-103.065
122972974,-103.065
123323324,-104.5996667
123673674,-103.2563333
124024025,-104.7916667
124374375,-105.3673333
124724725,-103.8323333
125075076,-103.832
125425426,-104.024
125775776,-104.7916667
126126127,-105.559
126476477,-103.8323333
126826827,-105.7506667
127177178,-102.8726667
127527528,-103.832
127877879,-102.105
128228229,-102.681
128578579,-105.559
128928930,-104.2156667
129279280,-103.0646667
129629630,-104.0243333
129979981,-103.2566667
130330331,-103.2566667
130680681,-101.5296667
131031032,-99.83833333
131381382,-100.0303333
131731732,-101.182
132082083,-101.7576667
132432433,-102.333
132782783,-102.525
133133134,-94.274
133483484,-93.69833333
133833834,-99.263
134184185,-102.525
134534535,-102.525
134884885,-101.1816667
135235236,-102.525
135585586,-101.1816667
135935937,-102.3333333
136286287,-101.5656667
136636637,-102.717
136986988,-102.3333333
137337338,-100.99
137687688,-100.99
138038039,-101.3736667
138388389,-101.9496667
138738739,-101.5653333
139089090,-99.83866667
139439440,-101.1816667
139789790,-100.4143333
140140141,-101.026
140490491,-101.6016667
140840841,-100.834
141191192,-101.41
141541542,-100.0666667
141891892,-101.2176667
142242243,-101.026
142592593,-100.642
142942944,-99.071
143293294,-98.87933333
143643644,-99.64666667
143993995,-100.2223333
144344345,-100.0303333
144694695,-99.647
145045046,-100.99
145395396,-100.1863333
145745746,-101.146
146096097,-99.80266667
146446447,-100.1866667
146796797,-99.61066667
147147148,-99.61066667
147497498,-98.84333333
147847848,-99.57466667
148198199,-98.03966667
148548549,-99.95866667
148898899,-99.191
149249250,-101.6856667
149599600,-100.342
149949951,-99.95833333
150300301,-99.347
150650651,-98.38733333
151001002,-100.4983333
151351352,-99.155
151701702,-99.92266667
152052053,-99.347
152402403,-99.539
152752753,-101.6136667
153103104,-99.88666667
153453454,-100.0786667
153803804,-99.311
154154155,-100.2703333
154504505,-99.119
154854855,-99.11933333
155205206,-100.2343333
155555556,-99.85066667
155905906,-101.578
156256257,-99.85033333
156606607,-100.2343333
156956958,-100.2343333
157307308,-100.0426667
157657658,-100.0423333
158008009,-100.1983333
158358359,-99.623
158708709,-99.23866667
159059060,-99.431
159409410,-99.623
159759760,-100.1983333
160110111,-99.047
160460461,-98.05166667
160810811,-98.81933333
161161162,-99.01133333
161511512,-99.20333333
161861862,-98.43533333
162212213,-99.01133333
162562563,-97.284
162912913,-97.44
163263264,-98.591
163613614,-97.43966667
163963964,-97.05633333
164314315,-97.82366667
164664665,-100.51
165015016,-97.824
165365366,-98.17166667
165715716,-98.74733333
166066067,-96.445
166416417,-97.21233333
166766767,-95.29366667
167117118,-97.78766667
167467468,-97.40433333
167817818,-96.025
168168169,-97.36833333
168518519,-96.601
168868869,-97.752
169219220,-97.752
169569570,-97.56
169919920,-97.17633333
170270271,-98.09966667
170620621,-95.60533333
170970971,-95.98933333
171321322,-97.14
171671672,-98.09966667
172022023,-96.18066667
172372373,-97.52433333
172722723,-96.91233333
173073074,-97.10433333
173423424,-97.872
173773774,-96.91266667
174124125,-98.44733333
174474475,-97.10433333
174824825,-96.72066667
175175176,-97.68
175525526,-97.45233333
175875876,-97.45233333
176226227,-98.21933333
176576577,-96.68433333
176926927,-96.49266667
177277278,-97.26033333
177627628,-95.34166667
177977978,-99.143
178328329,-98.75933333
178678679,-97.22433333
179029030,-95.68933333
179379380,-98.759
179729730,-98.951
180080081,-98.56733333
180430431,-96.61266667
180780781,-96.229
181131132,-97.956
181481482,-98.14766667
181831832,-96.99633333
182182183,-97.18833333
182532533,-98.53166667
182882883,-97.728
183233234,-97.536
183583584,-96.001
183933934,-97.34433333
184284285,-96.38466667
184634635,-97.536
184984985,-98.30366667
185335336,-97.5
185685686,-96.349
186036037,-98.07566667
186386387,-96.54033333
186736737,-96.73266667
187087088,-98.07566667
187437438,-97.308
187787788,-97.08033333
188138139,-97.27233333
188488489,-97.08
188838839,-96.88866667
189189190,-97.08066667
189539540,-98.23133333
189889890,-97.27233333
190240241,-95.893
190590591,-95.893
190940941,-96.85266667
191291292,-96.08466667
191641642,-97.428
191991992,-96.46833333
192342343,-97.04433333
192692693,-96.04933333
193043043,-96.241
193393394,-97.584
193743744,-97.00833333
194094095,-96.433
194444445,-98.15966667
194794795,-97.776
195145146,-97.584
195495496,-97.74
195845846,-96.78033333
196196197,-97.164
196546547,-97.93166667
196896897,-97.93166667
197247248,-98.12366667
197597598,-99.65866667
197947948,-99.239
198298299,-99.431
198648649,-98.27966667
198998999,-97.896
199349350,-98.47166667
199699700,-98.27966667
200050050,-96.553
200400401,-97.47633333
200750751,-97.47633333
201101102,-97.284
201451452,-98.01566667
201801802,-98.016
202152153,-97.24833333
202502503,-98.59133333
202852853,-98.172
203203204,-98.17166667
203553554,-99.51466667
203903904,-98.90333333
204254255,-99.671
204604605,-99.095
204954955,-98.51933333
205305306,-98.48333333
205655656,-98.48366667
206006006,-97.33233333
206356357,-97.29633333
206706707,-97.10433333
207057057,-97.68
207407408,-97.644
207757758,-97.26033333
208108109,-97.452
208458459,-96.68466667
208808809,-97.8
209159160,-98.56733333
209509510,-100.4863333
209859860,-100.2583333
210210211,-101.218
210560561,-100.2583333
210910911,-99.87466667
211261262,-99.071
211611612,-99.647
211961962,-99.647
212312313,-98.45933333
212662663,-97.884
213013013,-98.65166667
213363364,-98.42333333
213713714,-98.99933333
214064064,-98.23166667
214414415,-97.848
214764765,-98.96333333
215115116,-97.236
215465466,-98.57966667
215815816,-99.11933333
216166167,-99.311
216516517,-99.88666667
216866867,-100.4623333
217217218,-98.31566667
217567568,-99.46666667
217917918,-99.85066667
218268269,-98.47133333
218618619,-98.47133333
218968969,-97.704
219319320,-95.941
219669670,-94.98166667
220020020,-97.86
220370371,-97.09233333
220720721,-97.44
221071071,-97.248
221421422,-96.48066667
221771772,-97.404
222122122,-97.596
222472473,-96.82866667
222822823,-98.55566667
223173174,-97.75233333
223523524,-98.71133333
