Frequency (Hz),Magnitude (Log Mag dB)
107557558,-98.57933333
107907909,-102.417
108258259,-102.417
108608609,-105.679
108958960,-105.1036667
109309310,-105.1036667
109659660,-104.144
110010011,-103.5683333
110360361,-102.4173333
110710711,-102.609
111061062,-103.1843333
111411412,-101.4576667
111761762,-101.8416667
112112113,-100.882
112462463,-100.69
112812813,-100.3423333
113163164,-101.4936667
113513514,-102.261
113863865,-101.8776667
114214215,-102.8366667
114564565,-102.261
114914916,-101.11
115265266,-101.4936667
115615616,-100.726
115965967,-101.6853333
116316317,-99.95866667
116666667,-99.95866667
117017018,-98.807
117367368,-98.80733333
117717718,-98.23166667
118068069,-99.19133333
118418419,-98.61533333
118768769,-98.42366667
119119120,-95.35366667
119469470,-95.16133333
119819820,-96.88866667
120170171,-99.767
120520521,-101.302
120870872,-99.57466667
121221222,-98.61566667
121571572,-97.656
121921923,-97.5
122272273,-97.50033333
122622623,-98.65133333
122972974,-98.84333333
123323324,-99.419
123673674,-98.65133333
124024025,-100.5703333
124374375,-100.762
124724725,-100.762
125075076,-99.419
125425426,-99.80266667
125775776,-98.84333333
126126127,-99.035
126476477,-97.692
126826827,-98.07566667
127177178,-98.45966667
127527528,-99.803
127877879,-100.1863333
128228229,-98.45933333
128578579,-99.99466667
128928930,-99.227
129279280,-99.227
129629630,-98.65133333
129979981,-99.227
130330331,-97.88366667
130680681,-96.92433333
131031032,-94.84966667
131381382,-97.15233333
131731732,-95.04166667
132082083,-96.96033333
132432433,-98.87933333
132782783,-96.193
133133134,-89.669
133483484,-88.90133333
133833834,-96.00066667
134184185,-98.11166667
134534535,-97.536
134884885,-98.112
135235236,-99.64666667
135585586,-99.071
135935937,-99.455
136286287,-98.68733333
136636637,-98.68733333
136986988,-98.30366667
137337338,-98.11166667
137687688,-96.57666667
138038039,-97.53566667
138388389,-95.23366667
138738739,-98.30366667
139089090,-96.57633333
139439440,-97.15233333
139789790,-96.193
140140141,-97.95566667
140490491,-97.764
140840841,-97.956
141191192,-98.33966667
141541542,-98.53133333
141891892,-98.53166667
142242243,-97.764
142592593,-98.723
142942944,-97.72766667
143293294,-97.92
143643644,-97.92
143993995,-99.071
144344345,-100.4143333
144694695,-100.798
145045046,-100.99
145395396,-101.7213333
145745746,-102.1053333
146096097,-101.3376667
146446447,-100.1863333
146796797,-101.3376667
147147148,-100.954
147497498,-99.99433333
147847848,-98.61566667
148198199,-99.38266667
148548549,-100.1503333
148898899,-99.76666667
149249250,-99.575
149599600,-99.95866667
149949951,-100.3423333
150300301,-100.1146667
150650651,-100.69
151001002,-101.8413333
151351352,-103.1846667
151701702,-102.417
152052053,-102.0333333
152402403,-101.458
152752753,-100.654
153103104,-100.2703333
153453454,-100.654
153803804,-99.88666667
154154155,-100.4623333
154504505,-99.119
